2024-07-18 01:42:39,747 - ERROR - Stream encountered error: name 'stream' is not defined
2024-07-18 01:43:09,754 - ERROR - Stream encountered error: name 'stream' is not defined
2024-07-18 01:44:15,311 - ERROR - Stream encountered error: 403 Forbidden
When authenticating requests to the Twitter API v2 endpoints, you must use keys and tokens from a Twitter developer App that is attached to a Project. You can create a project via the developer portal.
2024-07-18 01:55:10,560 - ERROR - Stream encountered error: 401 Unauthorized
Unauthorized
2024-07-18 08:20:37,236 - ERROR - Stream encountered error: 403 Forbidden
When authenticating requests to the Twitter API v2 endpoints, you must use keys and tokens from a Twitter developer App that is attached to a Project. You can create a project via the developer portal.
2024-07-18 08:32:07,285 - ERROR - Stream encountered error: 403 Forbidden
When authenticating requests to the Twitter API v2 endpoints, you must use keys and tokens from a Twitter developer App that is attached to a Project. You can create a project via the developer portal.
2024-07-18 09:36:05,286 - ERROR - Error: 403 Forbidden
When authenticating requests to the Twitter API v2 endpoints, you must use keys and tokens from a Twitter developer App that is attached to a Project. You can create a project via the developer portal.
